City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Melfort,CA,2022-11-21 18:42:22,52.8667,-104.6177,19.53,79,100,12.66
68,Tibagi,BR,2022-11-21 18:42:33,-24.5094,-50.4136,84.7,39,100,7.85
69,Atuona,PF,2022-11-21 18:42:34,-9.8,-139.0333,77.5,67,11,17.45
70,Arraial Do Cabo,BR,2022-11-21 18:42:34,-22.9661,-42.0278,82.36,73,20,25.32
71,Nara,JP,2022-11-21 18:40:08,34.6851,135.8049,52.5,88,83,1.92
72,Butaritari,KI,2022-11-21 18:42:35,3.0707,172.7902,80.44,82,29,16.98
73,Masindi,UG,2022-11-21 18:42:36,1.6744,31.715,65.55,94,100,0.51
74,Asyut,EG,2022-11-21 18:42:36,27.181,31.1837,71.78,32,4,7.56
75,Husavik,IS,2022-11-21 18:42:37,66.0449,-17.3389,40.51,76,79,17.0
76,Sinnamary,GF,2022-11-21 18:42:37,5.3833,-52.95,84.7,66,43,13.27
77,Khatanga,RU,2022-11-21 18:42:38,71.9667,102.5,-37.95,100,68,1.45
78,Ganzhou,CN,2022-11-21 18:42:39,28.8184,115.4327,64.74,93,96,3.18
79,Grand Baie,MU,2022-11-21 18:42:39,-20.0182,57.5802,75.45,71,1,1.01
80,Sao Felix Do Xingu,BR,2022-11-21 18:42:40,-6.6447,-51.995,86.88,52,66,1.9
81,Mareeba,AU,2022-11-21 18:42:40,-17.0,145.4333,76.44,79,91,2.71
82,Lorengau,PG,2022-11-21 18:42:42,-2.0226,147.2712,80.94,72,99,6.02
83,San Luis,AR,2022-11-21 18:39:55,-33.295,-66.3356,71.22,23,0,11.03
84,Sonipat,IN,2022-11-21 18:42:43,28.9833,77.0167,62.6,31,0,6.46
85,Karratha,AU,2022-11-21 18:42:43,-20.7377,116.8463,75.2,59,65,20.87
86,Pampa,US,2022-11-21 18:42:04,35.5362,-100.9599,60.19,35,0,3.44
87,Anchorage,US,2022-11-21 18:40:03,61.2181,-149.9003,38.68,91,100,5.75
88,Granada,ES,2022-11-21 18:42:44,37.25,-3.25,53.46,91,100,15.26
89,Kodiak,US,2022-11-21 18:43:44,57.79,-152.4072,36.91,100,100,0.0
90,Faya,SA,2022-11-21 18:43:45,18.3851,42.4509,60.91,55,28,4.65
91,Weihe,CN,2022-11-21 18:43:45,32.9952,105.3247,40.95,84,84,5.1
92,Saint-Philippe,RE,2022-11-21 18:43:46,-21.3585,55.7679,74.79,78,13,4.79
93,Korla,CN,2022-11-21 18:43:47,41.7597,86.1469,35.74,42,79,3.62
94,Norman Wells,CA,2022-11-21 18:43:47,65.282,-126.8329,19.44,93,75,6.91
95,Kang,BW,2022-11-21 18:43:48,-23.6752,22.7876,69.35,69,100,12.17
96,Boende,CD,2022-11-21 18:43:49,-0.2167,20.8667,72.23,95,100,5.5
97,Katsuura,JP,2022-11-21 18:43:49,35.1333,140.3,50.02,89,15,10.51
98,Cayenne,GF,2022-11-21 18:43:49,4.9333,-52.3333,87.84,62,20,13.8
99,Cidreira,BR,2022-11-21 18:43:50,-30.1811,-50.2056,73.69,80,100,12.44
100,Pevek,RU,2022-11-21 18:43:50,69.7008,170.3133,-6.43,97,100,9.78
101,Danilov,RU,2022-11-21 18:43:51,58.1908,40.1717,17.31,86,60,3.38
102,Richards Bay,ZA,2022-11-21 18:43:51,-28.783,32.0377,70.34,71,83,12.71
103,Auki,SB,2022-11-21 18:43:52,-8.7676,160.7034,76.48,84,34,4.23
104,Cape Town,ZA,2022-11-21 18:43:52,-33.9258,18.4232,66.27,62,0,16.11
105,Lata,PT,2022-11-21 18:43:53,40.1629,-8.3327,58.82,85,100,8.1
106,Narsaq,GL,2022-11-21 18:39:30,60.9167,-46.05,26.82,91,11,5.79
107,Faanui,PF,2022-11-21 18:43:54,-16.4833,-151.75,79.14,74,59,15.46
108,Wattegama,LK,2022-11-21 18:43:54,6.7989,81.4808,72.73,93,4,2.68
109,Kotovo,RU,2022-11-21 18:43:55,50.3211,44.8012,38.23,98,100,8.7
110,Vityazevo,RU,2022-11-21 18:43:55,44.9931,37.2719,61.21,77,0,15.99
111,Waingapu,ID,2022-11-21 18:43:56,-9.6567,120.2641,79.86,82,92,1.43
112,Hilo,US,2022-11-21 18:43:56,19.7297,-155.09,72.1,92,20,7.0
113,Cherskiy,RU,2022-11-21 18:43:57,68.75,161.3,-32.17,100,95,3.29
114,Lebu,CL,2022-11-21 18:43:57,-37.6167,-73.65,60.4,60,0,20.96
115,Victoria,HK,2022-11-21 18:40:54,22.2855,114.1577,75.38,87,100,15.01
116,Portland,US,2022-11-21 18:43:38,45.5234,-122.6762,47.08,54,100,7.0
117,Chokurdakh,RU,2022-11-21 18:43:59,70.6333,147.9167,-23.21,99,100,1.57
